Region,Country,Latitude,Longitude,Elevation,Ekvator_Skoru,Toplam_Atis,Basarili_Atis,Basari_Yuzdesi,Guvenilirlik_Puani
Africa,Algeria,31.09951,-2.83581,621.104675292969,6.89,1600.0,1520.0,0.95,9.03
Africa,Algeria,26.71895,0.27691,280.231292724609,7.33,1600.0,1520.0,0.95,9.0
Africa,Congo (Zaire),-7.92587,28.52766,1241.73181152344,9.21,85.0,75.0,0.8824,8.2
Africa,Egypt,30.12575,30.605139,153.799346923828,6.99,1500.0,1410.0,0.94,9.07
Africa,Kenya,-2.9408,40.2134,-9.13746452331543,9.71,85.0,75.0,0.8824,8.34
Africa,Libya,26.99392,14.46425,428.532409667969,7.3,1600.0,1520.0,0.95,9.06
Africa,Mauritania,20.92856,-17.03153,3.95329332351685,7.91,315.0,302.0,0.9587,9.16
Africa,South Africa,-34.60265,20.30248,15.3499736785889,6.54,85.0,75.0,0.8824,7.99
Asia,China,30.93743,119.20575,39.252082824707,6.91,65.0,62.0,0.9538,9.43
Asia,China,40.96056,100.29833,1073.86083984375,5.9,210.0,201.0,0.9571,9.57
Asia,China,39.14321,111.96741,1512.884765625,6.09,210.0,201.0,0.9571,9.47
Asia,China,28.24646,102.02814,1856.88195800781,7.18,210.0,201.0,0.9571,9.43
Asia,China,19.6144917,110.9511333,10.1489696502685,8.04,65.0,62.0,0.9538,9.3
Asia,China,42.0,126.5,555.561462402344,5.8,65.0,62.0,0.9538,9.4
Asia,India,8.5314,76.869,9.98774337768555,9.15,85.0,75.0,0.8824,8.76
Asia,India,13.7374,80.2351,5.37244462966919,8.63,85.0,75.0,0.8824,8.82
Asia,India,20.75804,87.085533,5.63053941726685,7.92,85.0,75.0,0.8824,8.72
Asia,Indonesia,-7.646643,107.689018,7.88440895080566,9.24,85.0,75.0,0.8824,8.44
Asia,Iran,34.65,50.9,922.921569824219,6.54,1500.0,1410.0,0.94,9.24
Asia,Iran,36.42,55.02,1320.3623046875,6.36,1500.0,1410.0,0.94,9.27
Asia,Iran,35.234631,53.920941,942.894714355469,6.48,1500.0,1410.0,0.94,9.26
Asia,Iraq,32.7822,44.29962,34.459846496582,6.72,1500.0,1410.0,0.94,9.18
Asia,Israel,31.88484,34.6802,14.1298685073853,6.81,1500.0,1410.0,0.94,9.11
Asia,Japan,39.57148,140.05785,8.59914493560791,6.04,65.0,62.0,0.9538,9.41
Asia,Japan,31.25186,131.07914,276.74267578125,6.87,65.0,62.0,0.9538,9.53
Asia,Japan,30.39096,130.96813,0.0,6.96,65.0,62.0,0.9538,9.54
Asia,Japan,39.03,141.83,203.603530883789,6.1,65.0,62.0,0.9538,9.4
Asia,Japan,34.33766,139.26575,120.181030273438,6.57,65.0,62.0,0.9538,9.45
Asia,Japan,40.70342,141.36938,31.294734954834,5.93,65.0,62.0,0.9538,9.39
Asia,Kazakhstan,45.95515,63.35028,103.944213867188,5.4,1500.0,1410.0,0.94,9.4
Asia,Kazakhstan,46.38,72.87,498.397003173828,5.36,1500.0,1410.0,0.94,9.33
Asia,"Korea, North",40.85572,129.66587,41.677131652832,5.91,65.0,62.0,0.9538,9.42
Asia,"Korea, North",39.66,124.705,62.5698661804199,6.03,65.0,62.0,0.9538,9.42
Asia,Korea South,36.70211,126.47158,16.8028507232666,6.33,65.0,62.0,0.9538,9.46
Asia,"Korea, South",34.42585,127.52793,136.241714477539,6.56,65.0,62.0,0.9538,9.48
Asia,Maldives,-0.69328,73.15672,1.33782041072846,9.93,85.0,75.0,0.8824,8.65
Asia,Pakistan,25.19242,66.74881,7.00023746490479,7.48,85.0,75.0,0.8824,8.63
Asia,Pakistan,33.3961,73.29608,530.351135253906,6.66,1500.0,1410.0,0.94,9.24
Asia,Russia,80.45,58.05,120.293334960938,1.95,1600.0,1520.0,0.95,9.3
Asia,Russia,51.83441,128.2757,265.669036865234,4.82,65.0,62.0,0.9538,9.3
Asia,Russia,48.97,140.3,51.3988456726074,5.1,65.0,62.0,0.9538,9.32
Asia,Russia,59.367,143.25,3.9205334186554,4.06,65.0,62.0,0.9538,9.2
Asia,Russia,51.20706,59.85003,271.213439941406,4.88,1500.0,1410.0,0.94,9.34
Asia,Russia,51.883,128.333,278.954498291016,4.81,65.0,62.0,0.9538,9.3
Asia,Taiwan,22.1,120.9,-0.129555493593216,7.79,65.0,62.0,0.9538,9.4
Europe,Bulgaria,42.085846,27.955125,9.57592391967773,5.79,1600.0,1520.0,0.95,9.25
Europe,France,43.04507,6.47887,115.808670043945,5.7,1600.0,1520.0,0.95,9.19
Europe,Germany,52.35,13.21,44.9313163757324,4.77,1600.0,1520.0,0.95,9.3
Europe,Germany,54.143,13.794,5.31231260299683,4.59,1600.0,1520.0,0.95,9.32
Europe,Germany,53.84884,8.59154,19.5981979370117,4.62,1600.0,1520.0,0.95,9.29
Europe,Germany,52.939002,8.312515,21.2154235839844,4.71,1600.0,1520.0,0.95,9.28
Europe,Germany,54.44008,12.78431,2.69656896591186,4.56,1600.0,1520.0,0.95,9.32
Europe,Greece,36.7698,21.9316,8.37540817260742,6.32,1600.0,1520.0,0.95,9.18
Europe,Iceland,63.41891,-19.00463,20.0,3.66,1600.0,1520.0,0.95,9.21
